iter	MultiClass
0	2.141033026
1	2.030349168
2	1.950381462
3	1.876367952
4	1.813743695
5	1.759165381
6	1.709227929
7	1.667870062
8	1.62699784
9	1.590039751
10	1.556764969
11	1.52796192
12	1.501583812
13	1.475347529
14	1.450777964
15	1.429351001
16	1.411050318
17	1.391935586
18	1.374637823
19	1.35608545
20	1.341521611
21	1.325531715
22	1.311686005
23	1.29916943
24	1.287194528
25	1.275165441
26	1.264192992
27	1.255146473
28	1.244075425
29	1.235268788
30	1.226421636
31	1.218295869
32	1.210754264
33	1.202420841
34	1.195282572
35	1.186758922
36	1.180772139
37	1.174554678
38	1.168145072
39	1.162466185
40	1.156556274
41	1.151436249
42	1.146633341
43	1.140649859
44	1.135530503
45	1.13033218
46	1.125188431
47	1.12081898
48	1.115633856
49	1.111168721
50	1.106686867
51	1.102699935
52	1.09850061
53	1.094542261
54	1.091154361
55	1.087149065
56	1.084074056
57	1.080894865
58	1.077055478
59	1.073393618
60	1.070494331
61	1.0673442
62	1.064219716
63	1.061296887
64	1.058516611
65	1.056013944
66	1.053267973
67	1.050489503
68	1.048173979
69	1.045930179
70	1.042731549
71	1.039819703
72	1.037165942
73	1.034463486
74	1.031861947
75	1.029922405
76	1.028328343
77	1.026389082
78	1.024297572
79	1.021857319
80	1.019879855
81	1.01739481
82	1.015314272
83	1.013147898
84	1.0112382
85	1.009237261
86	1.006684027
87	1.004945336
88	1.002870199
89	1.000906608
90	0.9989952035
91	0.9970153017
92	0.9949315129
93	0.993015627
94	0.9909848421
95	0.9890964987
96	0.9868576441
97	0.9849208634
98	0.9833053308
99	0.9812911481
100	0.9796621032
101	0.9781382616
102	0.9766657987
103	0.9754041182
104	0.9737638789
105	0.9722596962
106	0.9703142757
107	0.9689710893
108	0.9675119403
109	0.9663823297
110	0.9651226777
111	0.9639463947
112	0.9623732844
113	0.9608518742
114	0.9595228931
115	0.9584442463
116	0.9569694828
117	0.9556357424
118	0.9542327522
119	0.952716262
120	0.951622683
121	0.9504013924
122	0.9487670479
123	0.9473328102
124	0.9459518197
125	0.9445877291
126	0.9424837169
127	0.9411512339
128	0.9402192657
129	0.9386979125
130	0.9373997014
131	0.9362639142
132	0.9348366188
133	0.9335349358
134	0.9321750311
135	0.9311188134
136	0.9299995158
137	0.9287198664
138	0.9275261654
139	0.9265413007
140	0.9253796457
141	0.9245571271
142	0.923604433
143	0.9224946245
144	0.9215814468
145	0.9207065109
146	0.9198393431
147	0.9189134637
148	0.9175943941
149	0.9166773998
150	0.9152560514
151	0.9143961096
152	0.9133775603
153	0.9121963737
154	0.9111962519
155	0.9104908471
156	0.9094866212
157	0.9088840372
158	0.9080153733
159	0.9070388322
160	0.9063404541
161	0.9053606288
162	0.9043583495
163	0.9033618713
164	0.9023864526
165	0.9014453523
166	0.900359284
167	0.8990538936
168	0.8979945957
169	0.8969568504
170	0.8957745041
171	0.8948622569
172	0.8941306419
173	0.8931988221
174	0.8925347018
175	0.8916534567
176	0.8906793713
177	0.8894681959
178	0.8884284133
179	0.8877408933
180	0.8867102382
181	0.8860094126
182	0.8850759014
183	0.8842617198
184	0.8835133056
185	0.8826426021
186	0.8817962314
187	0.8811209125
188	0.8800238509
189	0.8792926825
190	0.8783049759
191	0.8777300409
192	0.8771368053
193	0.8764778484
194	0.8758645804
195	0.8752280878
196	0.8745016877
197	0.8736882054
198	0.8729635496
199	0.8720222489
200	0.8713731178
201	0.8703381102
202	0.8696379667
203	0.8687606231
204	0.8682082879
205	0.8675769802
206	0.8669219863
207	0.8663341315
208	0.8654909333
209	0.8649815245
210	0.8644955797
211	0.8639383541
212	0.8631899931
213	0.8621413342
214	0.8614726075
215	0.860731125
216	0.859797115
217	0.8591945172
218	0.8587651611
219	0.8579018571
220	0.8569402436
221	0.8561377259
222	0.8554308764
223	0.8549363123
224	0.8545098218
225	0.8536873935
226	0.8530147404
227	0.8521527452
228	0.8513310359
229	0.8507627298
230	0.8500216818
231	0.8493631548
232	0.8485386861
233	0.8479723959
234	0.8472338919
235	0.846536943
236	0.8459586209
237	0.8451622077
238	0.8444040551
239	0.8438070314
240	0.8433686868
241	0.8428255471
242	0.8421865136
243	0.8417313518
244	0.8412869461
245	0.8406999175
246	0.8403034079
247	0.8398429498
248	0.839031255
249	0.8385194634
250	0.8378707033
251	0.8372036971
252	0.836590754
253	0.8360634084
254	0.83572034
255	0.8351591406
256	0.834698314
257	0.8341120507
258	0.8334732493
259	0.8330114146
260	0.8323166743
261	0.83188517
262	0.8315524015
263	0.8309013854
264	0.8303844697
265	0.8295352121
266	0.8288366583
267	0.8281987402
268	0.8274317238
269	0.8266718973
270	0.8262537438
271	0.8256203362
272	0.8249843394
273	0.8242141171
274	0.8237969017
275	0.8233933873
276	0.8227639586
277	0.8222556581
278	0.8217771792
279	0.8211811356
280	0.8206604508
281	0.8199131736
282	0.8194411943
283	0.8188333175
284	0.8182070154
285	0.8174928843
286	0.817164338
287	0.8166479107
288	0.8161090168
289	0.8152890719
290	0.8148919433
291	0.8142955018
292	0.8136166892
293	0.813110435
294	0.8127300005
295	0.8122081039
296	0.8116163884
297	0.8110908863
298	0.8106425127
299	0.8100062083
300	0.8096109507
301	0.8091742603
302	0.8087508627
303	0.8079985042
304	0.8075824415
305	0.8073155284
306	0.806789796
307	0.8062866628
308	0.8057149516
309	0.8052821247
310	0.8047817795
311	0.8043160146
312	0.8038610438
313	0.8034317052
314	0.8031232676
315	0.8027996881
316	0.8021406215
317	0.8015675819
318	0.8011966934
319	0.8007647207
320	0.8002953605
321	0.7996990793
322	0.7991618813
323	0.7988039894
324	0.798377597
325	0.7979340702
326	0.7974330243
327	0.7971791877
328	0.7966769116
329	0.7960891987
330	0.7953908164
331	0.7948441599
332	0.7943105185
333	0.7937598175
334	0.7934502656
335	0.7931680226
336	0.7927008338
337	0.7924797412
338	0.7919702401
339	0.7911722645
340	0.7904729054
341	0.7901432746
342	0.789609474
343	0.7892537522
344	0.7887377463
345	0.7882343273
346	0.7878750295
347	0.7871833589
348	0.7868605489
349	0.7862669821
350	0.7856738684
351	0.7852666842
352	0.7847924869
353	0.784301772
354	0.7838130663
355	0.7833691054
356	0.7829326841
357	0.7824625707
358	0.7821539916
359	0.7815673249
360	0.7809808723
361	0.7806123345
362	0.780046982
363	0.7795590947
364	0.7791052241
365	0.7786168938
366	0.7780973253
367	0.77764124
368	0.7771853981
369	0.7767707829
370	0.7761177171
371	0.7757081048
372	0.7751946043
373	0.7748812378
374	0.7746231765
375	0.7741263571
376	0.7736508758
377	0.7731676632
378	0.772744988
379	0.7724114887
380	0.7721297822
381	0.7717380551
382	0.7711747678
383	0.7706598114
384	0.7703925965
385	0.7697732843
386	0.7693080721
387	0.7689987504
388	0.7682589784
389	0.7678544455
390	0.7675991376
391	0.7671477374
392	0.7668399738
393	0.7662680254
394	0.7654903415
395	0.7652567792
396	0.7649165454
397	0.7644450951
398	0.7639474999
399	0.7635679039
400	0.7631278477
401	0.7625356261
402	0.7620404455
403	0.7616392889
404	0.7610772996
405	0.7607165418
406	0.7600098565
407	0.7596292714
408	0.7592221237
409	0.7588765441
410	0.7583480718
411	0.7579794813
412	0.7574464957
413	0.7570976545
414	0.7568069662
415	0.7564759932
416	0.755938764
417	0.7554523339
418	0.7548183396
419	0.7544078986
420	0.7539080165
421	0.7535498941
422	0.7532363649
423	0.7527560536
424	0.7524317108
425	0.7518005124
426	0.7515147936
427	0.7508793118
428	0.7503976954
429	0.7499998276
430	0.7497366336
431	0.7495013233
432	0.7492362256
433	0.7489412442
434	0.74870606
435	0.7483677332
436	0.7477000963
437	0.7474081676
438	0.7471007641
439	0.7465496407
440	0.7462775067
441	0.7457654609
442	0.7453144886
443	0.7447487517
444	0.7443208535
445	0.74373045
446	0.7432485352
447	0.7429990543
448	0.7424953405
449	0.7422306207
450	0.7417876112
451	0.7414875327
452	0.7411229147
453	0.740750167
454	0.7403451938
455	0.7399856032
456	0.7395840887
457	0.7392148055
458	0.7387589074
459	0.7384481907
460	0.7380674452
461	0.7376621686
462	0.7373870522
463	0.7369019345
