iter	Passed	Remaining
0	191	191411
1	238	119260
2	287	95646
3	342	85181
4	395	78662
5	449	74386
6	500	70968
7	550	68311
8	599	65998
9	646	64008
10	695	62512
11	745	61390
12	794	60325
13	843	59417
14	890	58508
15	941	57899
16	995	57545
17	1045	57064
18	1092	56429
19	1142	55965
20	1191	55525
21	1239	55080
22	1287	54690
23	1335	54311
24	1384	53992
25	1431	53621
26	1478	53282
27	1526	52998
28	1575	52755
29	1624	52511
30	1673	52311
31	1722	52101
32	1768	51835
33	1817	51649
34	1866	51470
35	1914	51261
36	1962	51078
37	2015	51029
38	2063	50844
39	2110	50648
40	2158	50485
41	2208	50364
42	2257	50243
43	2306	50103
44	2353	49950
45	2401	49799
46	2447	49634
47	2494	49474
48	2541	49323
49	2587	49168
50	2634	49024
51	2682	48899
52	2731	48800
53	2778	48681
54	2825	48553
55	2873	48443
56	2928	48440
57	2981	48417
58	3031	48342
59	3082	48294
60	3131	48198
61	3177	48076
62	3227	48008
63	3276	47916
64	3324	47816
65	3371	47704
66	3416	47580
67	3463	47464
68	3509	47358
69	3566	47377
70	3618	47346
71	3679	47429
72	3741	47506
73	3789	47422
74	3835	47304
75	3881	47185
76	3927	47079
77	3975	46992
78	4025	46929
79	4073	46845
80	4124	46793
81	4171	46699
82	4217	46597
83	4263	46495
84	4310	46404
85	4359	46327
86	4404	46226
87	4452	46145
88	4499	46053
89	4544	45954
90	4592	45877
91	4643	45833
92	4691	45755
93	4738	45670
94	4785	45592
95	4832	45507
96	4880	45430
97	4928	45360
98	4977	45303
99	5027	45249
100	5076	45186
101	5124	45113
102	5172	45043
103	5217	44953
104	5264	44874
105	5312	44809
106	5360	44739
107	5407	44665
108	5454	44585
109	5499	44499
110	5548	44441
111	5593	44352
112	5640	44278
113	5689	44217
114	5736	44144
115	5783	44077
116	5831	44009
117	5877	43933
118	5925	43868
119	5974	43809
120	6023	43754
121	6072	43698
122	6120	43636
123	6165	43557
124	6211	43478
125	6259	43420
126	6308	43363
127	6356	43301
128	6403	43234
129	6450	43166
130	6495	43087
131	6543	43028
132	6589	42956
133	6635	42885
134	6681	42813
135	6728	42745
136	6776	42689
137	6824	42631
138	6871	42561
139	6917	42495
140	6966	42440
141	7016	42398
142	7064	42334
143	7109	42259
144	7156	42195
145	7201	42121
146	7246	42051
147	7295	41997
148	7341	41929
149	7388	41867
150	7435	41808
151	7480	41735
152	7527	41671
153	7572	41601
154	7618	41530
155	7664	41469
156	7713	41416
157	7758	41348
158	7807	41294
159	7853	41231
160	7900	41169
161	7948	41117
162	7999	41079
163	8047	41020
164	8095	40965
165	8140	40900
166	8186	40833
167	8233	40775
168	8279	40713
169	8326	40650
170	8372	40590
171	8419	40531
172	8466	40473
173	8512	40410
174	8559	40349
175	8605	40288
176	8653	40234
177	8700	40180
178	8746	40117
179	8793	40059
180	8840	40002
181	8887	39946
182	8935	39890
183	8988	39863
184	9035	39803
185	9081	39744
186	9130	39693
187	9175	39628
188	9222	39573
189	9268	39511
190	9316	39462
191	9362	39401
192	9410	39346
193	9456	39290
194	9503	39231
195	9548	39166
196	9594	39107
197	9640	39047
198	9686	38988
199	9732	38928
200	9777	38867
201	9823	38808
202	9870	38751
203	9919	38704
204	9967	38652
205	10017	38609
206	10063	38553
207	10109	38493
208	10156	38437
209	10200	38374
210	10246	38314
211	10292	38255
212	10338	38200
213	10385	38145
214	10432	38091
215	10480	38038
216	10527	37985
217	10574	37930
218	10619	37872
219	10665	37814
220	10713	37765
221	10761	37713
222	10810	37666
223	10856	37611
224	10902	37553
225	10951	37505
226	11004	37472
227	11050	37417
228	11098	37366
229	11144	37309
230	11191	37257
231	11237	37200
232	11284	37145
233	11329	37087
234	11375	37032
235	11421	36975
236	11467	36918
237	11514	36866
238	11560	36811
239	11606	36753
240	11651	36694
241	11699	36644
242	11747	36594
243	11795	36546
244	11841	36490
245	11887	36434
246	11935	36387
247	11985	36344
248	12034	36295
249	12080	36242
250	12126	36187
251	12174	36136
